age,income,loan,credit_score,emi,risk
28,600000,150000,780,8000,0
32,900000,300000,750,12000,0
45,1500000,500000,800,20000,0
27,500000,100000,720,7000,0
38,800000,250000,760,15000,0
55,2000000,800000,810,25000,0
29,450000,120000,730,9000,0
41,1200000,400000,790,18000,0
24,350000,80000,710,6000,0
48,1800000,600000,820,30000,0
36,700000,200000,745,13000,0
31,550000,130000,715,10000,0
43,1100000,350000,770,16000,0
26,480000,100000,725,8500,0
52,2200000,900000,830,35000,0
34,650000,180000,735,11000,0
39,950000,280000,755,14000,0
23,300000,70000,705,5500,0
47,1600000,550000,815,22000,0
33,620000,160000,740,11500,0
40,1000000,350000,680,25000,0
35,750000,250000,660,20000,0
50,1400000,500000,700,30000,0
28,480000,120000,640,16000,0
44,1300000,450000,670,28000,0
30,600000,200000,620,20000,0
37,850000,300000,650,25000,0
22,250000,60000,610,8000,0
56,2500000,1000000,690,50000,0
42,950000,320000,630,22000,0
19,200000,50000,650,5000,0
64,3000000,1000000,800,50000,0
55,1800000,700000,760,30000,0
60,2500000,800000,820,40000,0
18,200000,40000,660,5000,0
53,1700000,600000,745,28000,0
27,350000,100000,600,13000,0
45,1200000,500000,601,28000,0
52,1500000,500000,720,35000,0
46,1250000,420000,700,22000,0
25,500000,200000,520,15000,1
35,700000,250000,540,18000,1
42,900000,350000,550,22000,1
27,400000,150000,480,12000,1
38,800000,300000,530,20000,1
50,1200000,450000,510,30000,1
23,300000,100000,490,10000,1
45,1000000,380000,545,25000,1
32,500000,150000,595,14000,1
40,900000,400000,570,22000,1
29,300000,100000,700,16000,1
33,400000,150000,720,21000,1
26,250000,80000,680,14000,1
41,500000,200000,740,26000,1
35,350000,120000,710,19000,1
48,600000,220000,760,31000,1
31,450000,150000,680,25000,1
38,600000,200000,720,32000,1
25,280000,90000,700,16000,1
55,900000,300000,750,50000,1
30,400000,3000000,700,15000,1
28,500000,4000000,750,20000,1
36,600000,4200000,720,22000,1
25,350000,2500000,710,12000,1
44,700000,5000000,730,25000,1
38,800000,5500000,750,28000,1
42,1000000,7000000,750,30000,1
35,700000,4800000,780,25000,1
48,1100000,7500000,760,35000,1
27,600000,4200000,700,22000,1
20,180000,100000,500,10000,1
33,500000,3500000,545,20000,1
29,250000,80000,560,16000,1
44,900000,6000000,520,30000,1
50,400000,200000,490,25000,1
